Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,5.4643498675479,4.9202333595503,4.8433923895811,6.3376704905587,4.9268566525445,4.7061706041995,6.4260139424069,5.6058583361027,5.0547974099171
2,4.7457425113124,4.2564452003570,4.1276428357657,7.6073489061686,7.7019475496785,6.0309493994705,11.4980426921546,10.8108887771835,9.2397266592118
3,4.5575142648908,3.7172861975572,3.5881649302090,3.8116267366755,3.5648638231320,3.8387286128882,5.1718738905410,5.4766273676947,4.7113101151884
4,4.5686300763777,4.4707836041413,3.9134655350350,6.0712143958612,6.5341866134832,5.5010201090549,7.2419045735612,6.3726889753285,5.6699033407050
5,4.6083767904300,4.4523700572767,4.0326905905312,7.4316847674749,5.9476574652378,6.8166081690090,8.2849178030813,7.1669118296607,6.4872908642496
6,6.1241300481642,6.6689244236213,4.9987647154749,4.3168210002032,5.3231517124260,4.9409357304860,7.1969910283772,6.8683136344826,6.5885021631145
7,6.5466377286452,6.5096632561538,6.0686068096929,7.3749893933108,6.4583115908807,7.6411506259428,9.7160206133730,8.0916016791451,6.9661260405718
8,16.6301254259217,30.9021002450822,12.5008619551815,14.0668945123552,13.1397683287368,8.6546762011200,19.9120636544412,11.3229289563453,18.1131869238450
9,8.6513685653732,7.2850471917716,6.9788901025178,9.5301736929144,5.9992638173497,4.8711146334460,8.3461986158289,7.1354555807663,6.0623915780200
10,5.7688830431527,4.4414160088047,3.3666331040315,6.5721275000434,4.7284916144064,4.0300014284006,7.0064125393242,5.6389972763054,5.2617309795945
11,5.8998415368775,4.9584282827573,3.5139774504397,6.0116093374259,4.8540298553976,5.2832038204492,7.1738056397114,3.9683272212810,5.3341165000670
12,7.1941878125382,5.0424512010154,5.8128846337380,5.6912762290347,5.0646018631300,5.0712376728903,6.1176243864662,5.4517868323448,5.2985250431721
13,6.6864284244277,5.6763603375365,5.5065406000407,5.7362362332098,5.2021206143211,4.1956693115104,5.1293906225676,4.5611503233721,4.6659843443518
14,5.5295961522703,3.4436256963279,2.8378468403100,4.6922106581472,3.7733392750409,3.5386962642198,6.6651631896999,3.2707581404931,4.6985346365090
15,5.8505493895450,5.3922002709834,4.2170951534843,4.1995427390992,3.9695919976649,3.7047042083242,5.4772454255526,4.7471725937333,4.5031699572279
16,5.3741164312545,4.1622519262533,5.4336188245655,5.0442907759308,6.6608079942870,4.3486046359645,6.2739874382884,6.1453406096830,6.0537818413177
17,5.8058796808348,6.2441396894232,5.1295449040027,10.7534374967608,8.8104270498220,6.1802265965499,6.6607474962876,9.2841655593826,5.4209041616710
18,6.0571500543895,4.8732930642099,5.6276850089754,4.5351653100670,4.5001993083123,4.7009904640151,5.6379457897575,4.6948774063953,4.1117710440580
19,6.9167875045225,5.7822235308663,6.2208958327745,7.6024573294565,6.2428572459626,5.5889610784658,6.4828602046707,7.0006167095861,5.9126046603226
20,8.0137404735989,6.2963518723660,5.3491771159881,6.7851616444280,6.2668011035656,5.5981503906026,7.3546308790689,6.9314651094910,6.5689895869358
21,5.0397134081791,5.9112391468641,5.2177317417400,4.2696718709468,5.1374120627702,4.4963493877436,4.8500985627596,4.4237217276132,5.2291287719676
22,5.5281054473782,4.4695081183559,4.9126045046418,5.7638955641219,5.3348186827664,5.0145737980973,6.1988458441333,5.7130604731121,4.7871239453753
23,6.3600997991689,5.3288597608610,3.9696524255551,6.1634306171886,6.0712344645131,4.9188797641944,7.4637707279420,4.6378933970121,6.5971328863197
24,7.6959901800478,6.4039667974599,5.2381815061170,5.9697678918460,5.6921698252977,4.3987535495967,6.4537139115774,6.5681436093405,4.9712012650548
25,5.5714011718449,4.6270826021971,5.0011922350079,5.2775354033400,4.5546457901585,4.3293461323456,5.5778311200884,5.2642703122520,4.6580420270571
26,6.5963432325691,6.6993609725176,5.3647018416337,4.3307751343096,5.2325603511207,4.7735330025843,6.9499456658374,6.5184619063093,6.1804632103780
